Date,Total_Cases
2020-06-06,30514
2020-06-07,31186
2020-06-08,32033
2020-06-09,33075
2020-06-10,34316
2020-06-11,35295
2020-06-12,36406
2020-06-13,37420
2020-06-14,38277
2020-06-15,39294
2020-06-16,40400
2020-06-17,41431
2020-06-18,42762
2020-06-19,43803
2020-06-20,45029
2020-06-21,45891
2020-06-22,46845
2020-06-23,47896
2020-06-24,49009
2020-06-25,50187
2020-06-26,51427
2020-06-27,52812
2020-06-28,54010
2020-06-29,55092
2020-06-30,56385
2020-07-01,57770
2020-07-02,59394
2020-07-03,60695
2020-07-04,62142
2020-07-05,63749
2020-07-06,64958
2020-07-07,66226
2020-07-08,68079
2020-07-09,70736
2020-07-10,72347
2020-07-11,74018
2020-07-12,75699
2020-07-13,76981
2020-07-14,78572
2020-07-15,80094
2020-07-16,81668
2020-07-17,83130
2020-07-18,84882
2020-07-19,86521
2020-07-20,88214
2020-07-21,89869
2020-07-22,91751
2020-07-23,93657
2020-07-24,95418
2020-07-25,97286
2020-07-26,98778
2020-07-27,100303
2020-07-28,102051
2020-07-29,104432
2020-07-30,106336
2020-07-31,108376
2020-08-01,109936
2020-08-02,111455
2020-08-03,113134
2020-08-04,115056
2020-08-05,116871
2020-08-06,118753
2020-08-07,121226
2020-08-08,123503
2020-08-09,125396
2020-08-10,127083
2020-08-11,128776
2020-08-12,130718
2020-08-13,132816
2020-08-14,135123
2020-08-15,137468
2020-08-16,139549
2020-08-17,141370
2020-08-18,143043
2020-08-18,30463
2020-08-19,144945
2020-08-19,31014
2020-08-20,147211
2020-08-20,31608
2020-08-21,149408
2020-08-21,32265
2020-08-22,151498
2020-08-22,32853
2020-08-23,153535
2020-08-23,30078
2020-08-23,33467
2020-08-24,155412
2020-08-24,30418
2020-08-24,34100
2020-08-25,157859
2020-08-25,30782
2020-08-25,34738
2020-08-26,160165
2020-08-26,31104
2020-08-26,35451
2020-08-27,162884
2020-08-27,31466
2020-08-27,36211
2020-08-28,165887
2020-08-28,31890
2020-08-28,37080
2020-08-29,169195
2020-08-29,32505
2020-08-29,37941
2020-08-30,172053
2020-08-30,32963
2020-08-30,39035
2020-08-31,174796
2020-08-31,33278
2020-08-31,40084
2020-09-01,177571
2020-09-01,33629
2020-09-01,40985
2020-09-02,180646
2020-09-02,33988
2020-09-02,42039
2020-09-03,184268
2020-09-03,34359
2020-09-03,43398
2020-09-04,187537
2020-09-04,34689
2020-09-04,44278
2020-09-05,190665
2020-09-05,35011
2020-09-05,45155
2020-09-06,194109
2020-09-06,35316
2020-09-06,46331
2020-09-07,196989
2020-09-07,35606
2020-09-07,47377
2020-09-08,200035
2020-09-08,36031
2020-09-08,48391
2020-09-09,203342
2020-09-09,36387
2020-09-09,49395
2020-09-10,207203
2020-09-10,36757
2020-09-10,50669
2020-09-11,210940
2020-09-11,37126
2020-09-11,51633
2020-09-12,214746
2020-09-12,37490
2020-09-12,52838
2020-09-13,218382
2020-09-13,37726
2020-09-13,54218
2020-09-14,221523
2020-09-14,38084
2020-09-14,55097
2020-09-15,225030
2020-09-15,38455
2020-09-15,56173
2020-09-16,228993
2020-09-16,38813
2020-09-16,57467
2020-09-17,232628
2020-09-17,39136
2020-09-17,58580
2020-09-18,236519
2020-09-18,39624
2020-09-18,59838
2020-09-19,240687
2020-09-19,39975
2020-09-19,60826
2020-09-20,244676
2020-09-20,40325
2020-09-20,61964
2020-09-21,248852
2020-09-21,40661
2020-09-21,63316
2020-09-22,252923
2020-09-22,40997
2020-09-22,64552
2020-09-23,257388
2020-09-23,41339
2020-09-23,65687
2020-09-24,262022
2020-09-24,41698
2020-09-24,66731
2020-09-25,266845
2020-09-25,41982
2020-09-25,67902
2020-09-26,271339
2020-09-26,42251
2020-09-26,69225
2020-09-27,275213
2020-09-27,42448
2020-09-27,70442
2020-09-28,278722
2020-09-28,42728
2020-09-28,71340
2020-09-29,282724
2020-09-29,43003
2020-09-29,72578
2020-09-30,287008
2020-09-30,43534
2020-09-30,73737
2020-10-01,291182
2020-10-01,44135
2020-10-01,74990
2020-10-02,295499
2020-10-02,44404
2020-10-02,76188
2020-10-03,299506
2020-10-03,44723
2020-10-03,77453
2020-10-04,303498
2020-10-04,44961
2020-10-04,78851
2020-10-05,307120
2020-10-05,79873
2020-10-05,45206
2020-10-06,311176
2020-10-06,80979
2020-10-06,45481
2020-10-07,315714
2020-10-07,45807
2020-10-07,82190
2020-10-08,320564
2020-10-08,46150
2020-10-08,83372
2020-10-09,324658
2020-10-09,46453
2020-10-09,84315
2020-10-10,328952
2020-10-10,46763
2020-10-10,85574
2020-10-11,333449
2020-10-11,47023
2020-10-11,86963
2020-10-12,336716
2020-10-12,47320
2020-10-12,88174
2020-10-13,340622
2020-10-13,47650
2020-10-13,89228
2020-10-13,30131
2020-10-14,344749
2020-10-14,47950
2020-10-14,90266
2020-10-14,30417
2020-10-14,30392
2020-10-15,349160
2020-10-15,48244
2020-10-15,91338
2020-10-15,30887
2020-10-15,30989
2020-10-16,353461
2020-10-16,48530
2020-10-16,92383
2020-10-16,31496
2020-10-16,31332
2020-10-17,357762
2020-10-17,48780
2020-10-17,93357
2020-10-17,31987
2020-10-17,31746
2020-10-18,361867
2020-10-18,49016
2020-10-18,94328
2020-10-18,32257
2020-10-18,32101
2020-10-19,365240
2020-10-19,49248
2020-10-19,32798
2020-10-19,32417
2020-10-19,95254
2020-10-20,368842
2020-10-20,96218
2020-10-20,32859
2020-10-20,33285
2020-10-20,49543
2020-10-21,373109
2020-10-21,49875
2020-10-21,97218
2020-10-21,33882
2020-10-21,33234
2020-10-22,377541
2020-10-22,50147
2020-10-22,98207
2020-10-22,34643
2020-10-22,33744
2020-10-23,381910
2020-10-23,50429
2020-10-23,99159
2020-10-23,35148
2020-10-23,34315
2020-10-24,385980
2020-10-24,50721
2020-10-24,100221
2020-10-24,34600
2020-10-24,35550
2020-10-25,389712
2020-10-25,50967
2020-10-25,100992
2020-10-25,35948
2020-10-25,34956
2020-10-26,392934
2020-10-26,36412
2020-10-26,35114
2020-10-26,51255
2020-10-26,101898
2020-10-27,396454
2020-10-27,36836
2020-10-27,51541
2020-10-27,102679
2020-10-27,35428
2020-10-28,400483
2020-10-28,51773
2020-10-28,103523
2020-10-28,37263
2020-10-28,35747
2020-10-29,404048
2020-10-29,52015
2020-10-29,37688
2020-10-29,36115
2020-10-29,104236
2020-10-30,406945
2020-10-30,52233
2020-10-30,38042
2020-10-30,104848
2020-10-30,36311
2020-10-31,410088
2020-10-31,52458
2020-10-31,105598
2020-10-31,38511
2020-10-31,36928
2020-11-01,412784
2020-11-01,53085
2020-11-01,106206
2020-11-01,38750
2020-11-01,37390
2020-11-02,415402
2020-11-02,107230
2020-11-02,53369
2020-11-02,39075
2020-11-02,37638
2020-11-03,418375
2020-11-03,53630
2020-11-03,38092
2020-11-03,39592
2020-11-03,107847
2020-11-04,421731
2020-11-04,53861
2020-11-04,38638
2020-11-04,40163
2020-11-04,108615
2020-11-05,425796
2020-11-05,109412
2020-11-05,40830
2020-11-05,54131
